case-sensitive code,name (display),category,synonyms,LOINC property,Guidance,source
',arc minute,Clinical,arcminutes; arcmin; arc minutes; arc mins,Angle,equal to 1/60 degree; used in optometry and opthamology (e.g. visual acuity tests),UCUM
'',arc second,Clinical,arcseconds; arcsecs,Angle,equal to 1/60 arcminute = 1/3600 degree; used in optometry and opthamology (e.g. visual acuity tests),UCUM
%,,Clinical,percents,FR; NFR; MFR; CFR; SFR Rto; etc. ,,UCUM
%[slope],percent of slope,Clinical,% slope; %slope; percents slopes,VelFr; ElpotRatFr; VelRtoFr; AccelFr,,UCUM
/(12.h),per twelve hour,Clinical,per 12 hours; 12hrs; 12 hrs; /12hrs,Rat,,LOINC
/[arb'U],per arbitrary unit,Clinical,/arbU,InvA ,,LOINC
/[HPF],per high power field,Clinical,/HPF; per HPF,Naric,,LOINC
/[IU],per international unit,Clinical,international units; /IU; per IU,InvA,International units (IU) are analyte and reference specimen  specific arbitrary units (held at WHO),LOINC
/[LPF],per low power field,Clinical,/LPF; per LPF,Naric,,LOINC
/10*10,per 10 billion  ,Clinical,/10^10; per 10*10,NFr,"used for counting entities, e.g. blood cells; usually these kinds of terms have numerators such as moles or milligrams, and counting that amount per the number in the denominator",LOINC
/10*12,per trillion ,Clinical,/10^12; per 10*12,NFr,"used for counting entities, e.g. blood cells; usually these kinds of terms have numerators such as moles or milligrams, and counting that amount per the number in the denominator",LOINC
/10*3,per thousand,Clinical,/10^3; per 10*3,NFr,"used for counting entities, e.g. blood cells; usually these kinds of terms have numerators such as moles or milligrams, and counting that amount per the number in the denominator",LOINC
/10*6,per million,Clinical,/10^6; per 10*6;,NFr,"used for counting entities, e.g. blood cells; usually these kinds of terms have numerators such as moles or milligrams, and counting that amount per the number in the denominator",LOINC
/10*9,per billion,Clinical,/10^9; per 10*9,NFr,"used for counting entities, e.g. blood cells; usually these kinds of terms have numerators such as moles or milligrams, and counting that amount per the number in the denominator",LOINC
/100,per 100,Clinical,per hundred; 10^2; 10*2,NFr,"used for counting entities, e.g. blood cells; usually these kinds of terms have numerators such as moles or milligrams, and counting that amount per the number in the denominator",LOINC
/100{cells},per 100 cells,Clinical,/100 cells; /100cells; per hundred,EntMass; EntNum; NFr,,LOINC
/100{neutrophils},per 100 neutrophils,Clinical,/100 neutrophils; /100neutrophils; per hundred,EntMass; EntNum; NFr,,LOINC
/100{spermatozoa},per 100 spermatozoa,Clinical,/100 spermatozoa; /100spermatozoa; per hundred,NFr,,LOINC
/100{WBCs},per 100 white blood cells,Clinical,/100 WBCs; /100WBCs; per hundred,Ratio; NFr,,LOINC
/a,per year,Clinical,/Years; /yrs; yearly,NRat,,LOINC
/cm[H2O],per centimeter of water,Clinical,/cmH2O; /cm H2O; centimeters; centimetres,InvPress,,LOINC
/d,per day,Clinical,/dy; per day,NRat,,LOINC
/dL,per deciliter,Clinical,per dL; /deciliter; decilitre,NCnc,,LOINC
/g,per gram,Clinical,/gm; /gram; per g,NCnt,,LOINC
/h,per hour,Clinical,/hr; /hour; per hr,NRat,,LOINC
/kg,per kilogram,Clinical,per kg; per kilogram,NCnt,,LOINC
/L,per liter,Clinical,/liter; litre,NCnc,,LOINC
/m2,per square meter,Clinical,/m^2; /m*2; /sq. m; per square meter; meter squared; metre,Naric,,LOINC
/m3,per cubic meter,Clinical,/m^3; /m*3; /cu. m; per cubic meter; meter cubed; per m3; metre,NCncn,,LOINC
/mg,per milligram,Clinical,/milligram; per mg,NCnt,,LOINC
/min,per minute,Clinical,/minute; per mins; breaths beats per minute,NRat,,LOINC
/mL,per milliliter,Clinical,/milliliter; per mL; millilitre,NCncn,,LOINC
/mm,per millimeter,Clinical,/millimeter; per mm; millimetre,InvLen,,LOINC
/mo,per month,Clinical,/month; per mo; monthly; month,NRat,,LOINC
/s,per second,Clinical,/second; /sec; per sec; frequency; Hertz; Herz; Hz; becquerels; Bq; s-1; s^-1,NRat,,LOINC
/U,per enzyme unit,Clinical,/enzyme units; per U,InvC; NCat,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min),LOINC
/uL,per microliter,Clinical,/microliter; microlitre; /mcl; per uL,ACnc,,LOINC
/wk,per week,Clinical,"/week; per wk; weekly, weeks",NRat,,LOINC
[acr_br],acre,Nonclinical,Imperial acres; British; a; ac; ar; acr,Area,the standard unit for acre used in the US and internationally,UCUM
[acr_us],acre - US,Nonclinical,Acre USA Survey; Acre USA; survey acres,Area,an older unit based on pre 1959 US statute lengths that is still sometimes used in the US only for land survey purposes. ,UCUM
[Amb'a'1'U],allergen unit for Ambrosia artemisiifolia,Clinical,Amb a 1 unit; Antigen E; AgE U; allergen units,Arb,"Amb a 1 is the major allergen in short ragweed, and can be converted Bioequivalent allergen units (BAU) where 350 Amb a 1 U/mL = 100,000 BAU/mL",UCUM
[anti'Xa'U],anti factor Xa unit,Clinical,units,ACnc,[anti'Xa'U] unit is equivalent to and can be converted to IU/mL. ,UCUM
[APL'U],APL unit,Clinical,APL units; APL U; IgA anticardiolipin; IgA Phospholipid; biologic activity of,AMass; ACnc,Units for an anti phospholipid syndrome test,UCUM
[APL'U]/mL,APL unit per milliliter,Clinical,APL/mL; APL'U/mL; APL U/mL; APL/milliliter; IgA anticardiolipin units per milliliter; IgA Phospholipid Units; millilitre; biologic activity of,ACnc,Units for an anti phospholipid syndrome test,LOINC
[arb'U],arbitary unit,Clinical,arbitary units; arb units; arbU,Arb,relative unit of measurement to show the ratio of test measurement to reference measurement,UCUM
[arb'U]/mL,arbitrary unit per milliliter,Clinical,arb'U/mL; arbU/mL; arb U/mL; arbitrary units per milliliter; millilitre,ACnc,relative unit of measurement to show the ratio of test measurement to reference measurement,LOINC
[AU],allergy unit,Clinical,allergy units; allergen units; AU,Arb,Most standard test allergy units are reported as [IU] or as %. ,LOINC
[BAU],bioequivalent allergen unit,Clinical,BAU; Bioequivalent Allergy Units; bioequivalent allergen units,Arb,,UCUM
[bbl_us],barrel - US,Nonclinical,bbl,Vol,"[bbl_us] is the standard unit for oil barrel, which is a unit only used in the US to measure the volume oil. ",UCUM
[bdsk'U],Bodansky unit,Obsolete,,ACnc,Enzyme unit specific to alkaline phosphatase - better to use standard enzyme unit of U,UCUM
[beth'U],Bethesda unit,Clinical,BU,ACnc,measures of blood coagulation inhibitior for many blood factors,UCUM
[bf_i],board foot,Nonclinical,BDFT; FBM; BF; board feet; international,Vol,unit of volume used to measure lumber,UCUM
[Btu],British thermal unit,Nonclinical,"BTU; B.T.U. ;
B.Th.U.; BThU; British thermal units",Eng,"equal to the thermochemical British thermal unit equal to 1.054350 kJ; used as a measure of power in the electric power, steam generation, heating, and air conditioning industries",UCUM
[Btu_39],British thermal unit at 39°F,Nonclinical,BTU 39F; BTU 39 F; B.T.U. 39 F; B.Th.U. 39 F; BThU 39 F; British thermal units,Eng,"equal to 1.05967 kJ; used as a measure of power in the electric power, steam generation, heating, and air conditioning industries",UCUM
[Btu_59],British thermal unit at 59°F,Nonclinical,BTU 59 F; BTU 59F; B.T.U. 59 F; B.Th.U. 59 F; BThU 59F; British thermal units,Eng,"equal to  1.05480 kJ; used as a measure of power in the electric power, steam generation, heating, and air conditioning industries",UCUM
[Btu_60],British thermal unit at 60°F,Nonclinical,BTU 60 F; BTU 60F; B.T.U. 60 F; B.Th.U. 60 F; BThU 60 F; British thermal units 60 F,Eng,"equal to 1.05468 kJ; used as a measure of power in the electric power, steam generation, heating, and air conditioning industries",UCUM
[Btu_IT],international table British thermal unit,Nonclinical,BTU IT;  B.T.U. IT; B.Th.U. IT; BThU IT; British thermal units IT,Eng,"equal to 1.055 kJ; used as a measure of power in the electric power, steam generation, heating, and air conditioning industries",UCUM
[Btu_m],mean British thermal unit,Nonclinical,"BTU mean;  B.T.U. mean; B.Th.U. mean; BThU mean; British thermal units mean;
",Eng,"equal to 1.05587 kJ; used as a measure of power in the electric power, steam generation, heating, and air conditioning industries",UCUM
[Btu_th],thermochemical British thermal unit,Nonclinical,BTU Th;  B.T.U. Th; B.Th.U. Th; BThU Th; thermochemical British thermal units,Eng,"equal to 1.054350 kJ; used as a measure of power in the electric power, steam generation, heating, and air conditioning industries",UCUM
[bu_br],bushel - British,Obsolete,British bushels; imperial; br bsh; br bu; imp,Vol,Historical unit of dry volume that is rarely used today,UCUM
[bu_us],bushel - US,Obsolete,US bushels; US bsh; US bu,Vol,Historical unit of dry volume that is rarely used today,UCUM
[c],velocity of light in a vacuum,Constant,speed of light,Vel,equal to 299792458 m/s (approximately 3 x 10^8 m/s),UCUM
[Cal],nutrition label Calories,Clinical,food calories; Cal; kcal,Eng,,UCUM
[car_Au],carat of gold alloys,Nonclinical,karats; k; kt; car au; carats,MFr,unit of purity for gold alloys,UCUM
[car_m],metric carat,Nonclinical,carats; ct; car m,Mass,unit of mass for gemstones,UCUM
[CCID_50],50% cell culture infectious dose,Clinical,CCID50; 50% cell culture infective doses,NumThres,,UCUM
[cft_i],cubic foot,Clinical,ft3; ft^3; ft*3; cu. ft; cubic feet; cubed; [ft_i]3; international,Vol,,UCUM
[CFU],colony forming units,Clinical,CFU,Num,,LOINC
[CFU]/L,colony forming units per liter,Clinical,CFU per Liter; CFU/L,NCnc,,LOINC
[CFU]/mL,colony forming units per milliliter,Clinical,CFU per mL; CFU/mL,NCnc,,LOINC
[Ch],French (catheter gauge) ,Clinical,"Charrières, French scales; French gauges; Fr, Fg, Ga, FR, Ch",Len; Circ; Diam,,LOINC
[ch_br],Gunter's chain - British,Obsolete,"Gunter's Chain British; Gunters Chain British;
Surveyor's Chain British",Len,historical unit used for land survey used only in Great Britain,UCUM
[ch_us],Gunter's chain - US,Obsolete,surveyor's chain; Surveyor's chain USA; Gunter’s measurement; surveyor’s measurement; Gunter's Chain USA,Len,historical unit used for land survey used only in the US,UCUM
[cicero],cicero,Obsolete,Didot's pica; ciceros; picas,Len,typography unit for typesetter's length,UCUM
[cin_i],cubic inch,Clinical,in3; in^3; in*3; inches^3; inches*3; cu. in; cu in; cubic inches; inches cubed; cin,Vol,standard unit used in the US and internationally,UCUM
[cml_i],circular mil,Clinical,circular mils; cml I; international,Area,,UCUM
[cr_i],cord,Nonclinical,crd I; international cords,Vol,unit of measure of dry volume used to measure firewood equal 128 ft3,UCUM
[crd_us],cord - US,Nonclinical,US cord; US cords; crd us; us crd,Vol,unit of measure of dry volume used to measure firewood equal 128 ft3 (the same as international cord [cr_i]),UCUM
[cup_m],cup - US legal,Clinical,cup m; metric cups,Vol,"standard unit equal to 240 mL used in the US for nutritional labelling, as defined by the FDA. Note that this is different from the US customary cup (236.59 mL) and the metric cup used in Commonwealth nations (250 mL).",UCUM
[cup_us],cup - US customary,Nonclinical,cup us; us cups,Vol,"Unit defined as 1/2 US pint or 16 US tablespoons ≈ 236.59 mL, which is not the standard unit defined by the FDA of 240 mL - see [cup_m] (metric cup)",UCUM
[cyd_i],cubic yard,Nonclinical,cubic yards; cubic yds; cu yards; CYs; yards^3; yd^3; yds^3; yd3; yds3,Vol,standard unit used in the US and internationally,UCUM
[D'ag'U],D-antigen unit (polio),Clinical,DAgU; units,Acnc,unit of potency of poliovirus vaccine used for poliomyelitis prevention reported as D antigen units/mL. The unit is poliovirus type-specific.,UCUM
[degF],degrees Fahrenheit,Clinical,°F; deg F,Temp,,UCUM
[degR],degrees Rankine,Obsolete,°R; °Ra; Rankine,Temp,Replaced by Kelvin,UCUM
[degRe],degrees Réaumur,Obsolete,"°Ré, °Re, °r; Réaumur; degree Reaumur; Reaumur",Temp,replaced by Celsius,UCUM
[den],Denier (linear mass density),Nonclinical,den; deniers,,equal to the mass in grams per 9000 meters of the fiber (1 denier = 1 strand of silk),UCUM
[didot],didot,Obsolete,Didot point; dd; Didots Point; didots; points,Len,typography unit for typesetter's length,UCUM
[diop],diopter (lens),Clinical,diopters; diop; dioptre; dpt; refractive power,InvLen,unit of optical power of lens represented by inverse meters (m^-1),UCUM
[dpt_us],dry pint - US,Nonclinical,dry pints; dry pint US; US dry pint; dry pt; dpt; dpt us,Vol,"historical unit of dry volume only in the US, but is rarely used today",UCUM
[dqt_us],dry quart - US,Nonclinical,dry quarts; dry quart US; US dry quart; dry qt; us dry qt; dqt; dqt us,Vol,"historical unit of dry volume only in the US, but is rarely used today",UCUM
[dr_ap],dram - apothecary,Nonclinical,ʒ; drachm; apothecaries drams; dr ap; dram ap,Mass,unit still used in the US occasionally to measure amount of drugs in pharmacies,UCUM
[dr_av],Dram mass unit,Clinical,Dram; drams avoirdupois; avoidupois dram; international dram,Mass,"unit from the avoirdupois system, which is used in the US and internationally",UCUM
